lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
673,Jörg Immendorﬀ,Nachtwache,100000,150000,281600,125000.0,3.632,2.2528,0.8122
674,Yu Nishimura,a man's work,40000,60000,204800,50000.0,8.24,4.096,1.41
675,Claudio Bravo,Tres paquetes naranjas,350000,550000,409600,450000.0,0.298,0.9102,-0.0941
676,Keith Haring,Andy Mouse,150000,250000,204800,200000.0,0.548,1.024,0.0237
677,Raymond Pettibon,No Title (Never had a...),100000,150000,320000,125000.0,4.4,2.56,0.94
678,Adrian Ghenie,The Blue Rain,600000,800000,896000,700000.0,1.48,1.28,0.2469
679,Feng Xiao Min,Composition n°28.3.22,40000,60000,192000,50000.0,7.6,3.84,1.3455
680,David Hockney,"The Arrival of Spring in Woldgate, East Yorkshire in 2011 (twenty eleven) - 15 March",120000,180000,217600,150000.0,1.6267,1.4507,0.372
681,Adriana Varejão,Tela sobre pratos,400000,600000,486400,500000.0,0.432,0.9728,-0.0276
682,Antonio Santin,Dystopian Blues,60000,80000,102400,70000.0,2.12,1.4629,0.3804
683,Joel Shapiro,Untitled,300000,500000,256000,400000.0,-0.22,0.64,-0.4463
685,George Condo,Abstract Stick Figure,250000,350000,409600,300000.0,1.596,1.3653,0.3114
686,Tom Wesselmann,"Maquette for Still Life with Fruit, Petunias and Claire (3-D)",30000,50000,44800,40000.0,0.74,1.12,0.1133
M1,Pablo Picasso,Deux femmes nues assises,700000,1000000,1536000,850000.0,2.7867,1.8071,0.5917
M2,Willem de Kooning,Untitled,4000000,6000000,10800000,5000000.0,3.4,2.16,0.7701
M3,Joan Miró,Dormeurs réveillés par un oiseau,3000000,5000000,6464000,4000000.0,1.732,1.616,0.48
M4,Willem de Kooning,Untitled XLII,9000000,12000000,12410000,10500000.0,1.1367,1.1819,0.1671
M5,Mark Rothko,Brown and Blacks in Reds,70000000,100000000,85780000,85000000.0,0.526,1.0092,0.0091
M6,Franz Kline,Harleman,12000000,18000000,14480000,15000000.0,0.4133,0.9653,-0.0353
M7,Jeff Koons,Louis XIV,7000000,10000000,8570000,8500000.0,0.5233,1.0082,0.0082
M8,Mark Rothko,No. 1,15000000,20000000,20805000,17500000.0,1.161,1.1889,0.173
M9,Willem de Kooning,Two Women,3000000,4000000,4024000,3500000.0,1.024,1.1497,0.1395
M10,David Hammons,Untitled,800000,1200000,1088000,1000000.0,0.72,1.088,0.0843
M11,John Chamberlain,Untitled,400000,600000,384000,500000.0,-0.08,0.768,-0.264
E1,Diego Giacometti,Pair of “Carcasse” Chenets,250000,350000,512000,300000.0,2.62,1.7067,0.5345
E2,Wassily Kandinsky,Zwei schwarze Streifen (Two Black Stripes),2000000,3000000,2066000,2500000.0,0.066,0.8264,-0.1907
E3,Mark Rothko,Untitled,5000000,7000000,9270000,6000000.0,2.135,1.545,0.435
E4,Alberto Giacometti,Buste d’homme (dit New York I),2000000,3000000,3292000,2500000.0,1.292,1.3168,0.2752
E6,Varvara Stepanova,Two Figures,1200000,1800000,2304000,1500000.0,1.84,1.536,0.4292
E7,Alberto Giacometti,La Clairière (Composition avec neuf figures),18000000,25000000,23105000,21500000.0,0.7293,1.0747,0.072
E8,Pablo Picasso,Buste de femme,3000000,5000000,5610000,4000000.0,1.305,1.4025,0.3383
E9,Paul Klee,Gartenfigur (Garden Figure),2000000,3000000,4634000,2500000.0,2.634,1.8536,0.6171
E10,Yves Tanguy,Aux Aguets le jour,800000,1200000,1792000,1000000.0,2.48,1.792,0.5833
E12,Wassily Kandinsky,Rote Tiefe (Red Depth),12000000,18000000,14480000,15000000.0,0.4133,0.9653,-0.0353
E13,Dorothea Tanning,Témoins du drame,1000000,1500000,2176000,1250000.0,2.352,1.7408,0.5543
E14,René Magritte,Femme-bouteille,800000,1200000,974000,1000000.0,0.435,0.974,-0.0263
E15,Sophie Taeuber-Arp,Personnages,200000,300000,409600,250000.0,2.096,1.6384,0.4937
E16,Charles Sheeler,Windows,1200000,1800000,2048000,1500000.0,1.4133,1.3653,0.3114
E17,Alexander Calder,La Feuille Jaune,2500000,3500000,3170000,3000000.0,0.67,1.0567,0.0551
E18,Fernand Léger,Femme dans un jardin,2000000,3000000,2926000,2500000.0,0.926,1.1704,0.1573
E21,Pierre Bonnard,Nature morte au melon,2500000,3500000,2948000,3000000.0,0.448,0.9827,-0.0175
E22,Henri Matisse,La Séance du matin,20000000,30000000,20000000,25000000.0,0.0,0.8,-0.2231
E23,Marc Chagall,La Nappe mauve,2500000,3500000,3353000,3000000.0,0.853,1.1177,0.1112
E24,Pablo Picasso,Tête de femme sur fond jaune,7000000,10000000,7745000,8500000.0,0.2483,0.9112,-0.093
E25,Barbara Hepworth,Group II (People Waiting),2000000,3000000,2250000,2500000.0,0.25,0.9,-0.1054
E27,Georgia O'Keeffe,Inside Clam Shell,6000000,8000000,8904000,7000000.0,1.452,1.272,0.2406
